Ice Cream	{"level": 2, "dimension": "Product", "alias": ""}
Vancouver	{"level": 2, "dimension": "Store", "alias": ""}
Units Sold	{"level": 2, "dimension": "Account", "alias": ""}
Cost	{"level": 2, "dimension": "Account", "alias": ""}
Plant-Based Burger	{"level": 2, "dimension": "Product", "alias": ""}
Burger	{"level": 2, "dimension": "Product", "alias": ""}
San Diego	{"level": 2, "dimension": "Store", "alias": ""}
All Stores	{"level": 1, "dimension": "Store", "alias": ""}
Price per Unit	{"level": 2, "dimension": "Account", "alias": ""}
Full Year	{"level": 1, "dimension": "Period", "alias": ""}
Sales Margin	{"level": 1, "dimension": "Account", "alias": ""}
Dallas	{"level": 2, "dimension": "Store", "alias": ""}
10	{"level": 2, "dimension": "Period", "alias": "Oct"}
11	{"level": 2, "dimension": "Period", "alias": "Nov"}
Undefined	{"level": 1, "dimension": "Period", "alias": "Non Period"}
Cola	{"level": 2, "dimension": "Product", "alias": ""}
New York	{"level": 2, "dimension": "Store", "alias": ""}
12	{"level": 2, "dimension": "Period", "alias": "Dec"}
All Products	{"level": 1, "dimension": "Product", "alias": ""}
All Years	{"level": 1, "dimension": "Year", "alias": ""}
2023	{"level": 2, "dimension": "Year", "alias": ""}
2022	{"level": 2, "dimension": "Year", "alias": ""}
2021	{"level": 2, "dimension": "Year", "alias": ""}
2020	{"level": 2, "dimension": "Year", "alias": ""}
1	{"level": 2, "dimension": "Period", "alias": "Jan"}
2	{"level": 2, "dimension": "Period", "alias": "Feb"}
3	{"level": 2, "dimension": "Period", "alias": "Mar"}
4	{"level": 2, "dimension": "Period", "alias": "Apr"}
Cost per Unit	{"level": 2, "dimension": "Account", "alias": ""}
Default member	{"level": 1, "dimension": "Period", "alias": "Default member"}
5	{"level": 2, "dimension": "Period", "alias": "May"}
6	{"level": 2, "dimension": "Period", "alias": "Jun"}
7	{"level": 2, "dimension": "Period", "alias": "Jul"}
Statistical	{"level": 1, "dimension": "Account", "alias": ""}
8	{"level": 2, "dimension": "Period", "alias": "Aug"}
9	{"level": 2, "dimension": "Period", "alias": "Sep"}
Revenue	{"level": 2, "dimension": "Account", "alias": ""}
Los Angeles	{"level": 2, "dimension": "Store", "alias": ""}
Toronto	{"level": 2, "dimension": "Store", "alias": ""}
