Dimension,Member,Alias,Parent,Operator,,,
Account,All Accounts,,,+,,,
Account,Income Statement,,All Accounts,-,,,
Account,Revenue,,Income Statement,+,,,
Account,Expense,,Income Statement,+,,,
Account,Balance Sheet,,All Accounts,-,,,
Account,Assets,,Balance Sheet,+,,,
Account,Liabilities,,Balance Sheet,+,,,
Account,Stockholders' Equity,,Balance Sheet,+,,,
Account,Statistical Accounts,,All Accounts,~,,,
Account,Other Accounts,,All Accounts,+,,,
Account,Statistical,,,+,,,
Account,Units Sold,,Statistical,+,,,
Account,Price per Unit,,Statistical,+,,,
Account,Cost per Unit,,Statistical,+,,,
Account,Sales Margin,,,+,,,
Account,Revenue,,Sales Margin,+,,,
Account,Cost,,Sales Margin,-,,,
Account,Undefined,Non Account,,+,,,
Account,Not Account Specific,,,+,,,
Product,All Products,,,~,,,
Product,Plant-Based Burger,,All Products,+,,,
Product,Ice Cream,,All Products,+,,,
Product,Cola,,All Products,+,,,
Product,Burger,,All Products,+,,,
Product,Default member,Default member,,+,,,
Product,Undefined,Non Product,,+,,,
Store,All Stores,,,~,,,
Store,San Diego,,All Stores,+,,,
Store,Los Angeles,,All Stores,+,,,
Store,New York,,All Stores,+,,,
Store,Dallas,,All Stores,+,,,
Store,Toronto,,All Stores,+,,,
Store,Vancouver,,All Stores,+,,,
Store,Default member,Default member,,+,,,
Store,Undefined,Non Store,,+,,,
Year,Undefined,Non Year,,+,,,
Year,Not Year Specific,,,+,,,
Year,All Years,,,~,,,
Year,2019,,All Years,+,,,
Year,2020,,All Years,+,,,
Year,2021,,All Years,+,,,
Year,2022,,All Years,+,,,
Year,2023,,All Years,+,,,
Period,Full Year,,,~,,,
Period,1,Jan,Full Year,+,,,
Period,2,Feb,Full Year,+,,,
Period,3,Mar,Full Year,+,,,
Period,4,Apr,Full Year,+,,,
Period,5,May,Full Year,+,,,
Period,6,Jun,Full Year,+,,,
Period,7,Jul,Full Year,+,,,
Period,8,Aug,Full Year,+,,,
Period,9,Sep,Full Year,+,,,
Period,10,Oct,Full Year,+,,,
Period,11,Nov,Full Year,+,,,
Period,12,Dec,Full Year,+,,,
Period,Default member,Default member,,+,,,
Period,Undefined,Non Period,,+,,,
