query,dimensions
What were my sales in 2022 compared to 2021?,"Account,Year"
What product drove my sales growth in 2022 compared to 2021?,"Account,Product,Year"
What seasonality patterns should I consider when forecasting revenue?,"Account,Year,Period,Product"
Did my sales show any seasonality?,"Account,Year,Period,Product"
Which product caused the most expense in 2022 compared to 2021?,"Account,Product,Year"
Which product had the highest expense in 2022 compared to 2021?,"Account,Product,Year"
Which product showed increased expenditure from 2021 to 2022?,"Account,Product,Year"
What was the expenditure on labor in 2022 compared to 2021?,"Account,Year"
What were my top 3 biggest expenses in 2021 compared to 2022?,"Account,Year"
How did my sales vary across stores in 2021 compared to 2022?,"Account,Store,Year"
How did my sales vary across stores in 2021 compared to 2022?,"Account,Store,Year"
How close were we to our sales target in 2021 compared to 2022?,"Account,Year"
How close were we to our budget target in 2021 compared to 2023?,"Account,Year"
In which month were my sales highest in 2021?,"Account,Period,Year"
In which month were my sales lowest in 2021?,"Account,Period,Year"
Are we on track to hit our sales target for this year?,"Account,Period,Year"
Are we on track to hit our sales target for this month?,"Account,Period,Year"
Are we going over budget this month?,"Account,Period,Year"
What were my COGS in 2022 compared to 2021?,"Account,Year"
What did we spend on products in 2022 compared to 2021?,"Account,Product,Year"
What did we spend on products in 2022 compared to 2021?,"Account,Product,Year"
How liquid were we in 2021 compared to 2022?,"Account,Year"
How solvent were we in 2021 compared to 2022?,"Account,Year"
How profitable were we in 2021 compared to 2022?,"Account,Year"
How efficient were we in 2021 compared to 2022?,"Account,Year"
Is there any seasonality in my sales?,"Account,Year,Period"
What are my biggest expenses this year?,"Account,Year"
Which store had the biggest expenses this year?,"Account,Store,Year"
Which product was the most profitable this year?,"Account,Product,Year"
What trends are there in my expenses?,"Account,Year,Period"
Which products are showing the highest growth?,"Account,Product,Year,Period"
